category,point,sign,key,title,keywords,short,summary
asc_in_sign,asc,aries,asc_aries,ASC in 양자리,첫인상|주도성|직진|속도,첫인상과 외부 태도가 직설적이고 선도적인 방식으로 드러나는 편입니다.,어센던트가 양자리에 있으면 타인에게 빠르고 분명한 인상을 주기 쉽습니다. 새로운 상황에서는 먼저 움직이며 흐름을 주도하는 편입니다.
asc_in_sign,asc,taurus,asc_taurus,ASC in 황소자리,첫인상|안정|지속성|감각,첫인상과 외부 태도가 안정적이고 꾸준한 방식으로 드러나는 편입니다.,어센던트가 황소자리에 있으면 타인에게 차분하고 믿음직한 인상을 주기 쉽습니다. 새로운 상황에서는 서두르기보다 익숙한 리듬을 지키는 편입니다.
asc_in_sign,asc,gemini,asc_gemini,ASC in 쌍둥이자리,첫인상|호기심|소통|유연성,첫인상과 외부 태도가 가볍고 유연한 방식으로 드러나는 편입니다.,어센던트가 쌍둥이자리에 있으면 타인에게 경쾌하고 빠른 인상을 주기 쉽습니다. 새로운 상황에서는 질문하고 연결하며 상황을 넓게 보는 편입니다.
asc_in_sign,asc,cancer,asc_cancer,ASC in 게자리,첫인상|보호|정서|돌봄,첫인상과 외부 태도가 조심스럽고 보호적인 방식으로 드러나는 편입니다.,어센던트가 게자리에 있으면 타인에게 부드럽고 배려 깊은 인상을 주기 쉽습니다. 새로운 상황에서는 안전하다고 느껴질 때 비로소 속도를 내는 편입니다.
asc_in_sign,asc,leo,asc_leo,ASC in 사자자리,첫인상|표현|자신감|창조성,첫인상과 외부 태도가 당당하고 표현적인 방식으로 드러나는 편입니다.,어센던트가 사자자리에 있으면 타인에게 밝고 존재감 있는 인상을 주기 쉽습니다. 새로운 상황에서는 자신의 색을 분명히 드러내며 움직이는 편입니다.
asc_in_sign,asc,virgo,asc_virgo,ASC in 처녀자리,첫인상|정교함|실용성|분석,첫인상과 외부 태도가 세심하고 실용적인 방식으로 드러나는 편입니다.,어센던트가 처녀자리에 있으면 타인에게 단정하고 정확한 인상을 주기 쉽습니다. 새로운 상황에서는 흐름을 정리하고 작은 차이를 살피는 편입니다.
asc_in_sign,asc,libra,asc_libra,ASC in 천칭자리,첫인상|균형|관계|조화,첫인상과 외부 태도가 균형 있고 세련된 방식으로 드러나는 편입니다.,어센던트가 천칭자리에 있으면 타인에게 부드럽고 조화로운 인상을 주기 쉽습니다. 새로운 상황에서는 상대의 반응을 살피며 균형점을 찾는 편입니다.
asc_in_sign,asc,scorpio,asc_scorpio,ASC in 전갈자리,첫인상|집중|깊이|통찰,첫인상과 외부 태도가 깊고 강하게 몰입하는 방식으로 드러나는 편입니다.,어센던트가 전갈자리에 있으면 타인에게 조용하지만 밀도 있는 인상을 주기 쉽습니다. 새로운 상황에서는 겉보다 본질을 읽으며 깊게 파고드는 편입니다.
asc_in_sign,asc,sagittarius,asc_sagittarius,ASC in 사수자리,첫인상|확장|비전|자유,첫인상과 외부 태도가 넓고 개방적인 방식으로 드러나는 편입니다.,어센던트가 사수자리에 있으면 타인에게 자유롭고 시원한 인상을 주기 쉽습니다. 새로운 상황에서는 큰 그림을 보며 앞으로 뻗어 가는 편입니다.
asc_in_sign,asc,capricorn,asc_capricorn,ASC in 염소자리,첫인상|책임감|현실성|구조,첫인상과 외부 태도가 현실적이고 구조적인 방식으로 드러나는 편입니다.,어센던트가 염소자리에 있으면 타인에게 차분하고 신뢰를 주는 인상을 주기 쉽습니다. 새로운 상황에서는 목표를 세우고 단계적으로 쌓아 가는 편입니다.
asc_in_sign,asc,aquarius,asc_aquarius,ASC in 물병자리,첫인상|독립성|새로움|객관성,첫인상과 외부 태도가 독립적이고 새로운 방식으로 드러나는 편입니다.,어센던트가 물병자리에 있으면 타인에게 담백하고 독특한 인상을 주기 쉽습니다. 새로운 상황에서는 익숙한 틀을 한 번 더 의심해 보는 편입니다.
asc_in_sign,asc,pisces,asc_pisces,ASC in 물고기자리,첫인상|공감|직관|유연성,첫인상과 외부 태도가 유연하고 감응적인 방식으로 드러나는 편입니다.,어센던트가 물고기자리에 있으면 타인에게 부드럽고 열린 인상을 주기 쉽습니다. 새로운 상황에서는 분위기와 흐름을 읽으며 자연스럽게 반응하는 편입니다.
